MASS (IN MSUN)=  1.000
 X=  .740 Y=  .240
 L=  1000.
 GUESSED PERIOD=  1.000000E+02 SEC
 NTRY=  1 EIG=  3.9478418E-03 DEIG=  3.05150E-06
 NTRY=  2 EIG=  3.9508933E-03 DEIG= -2.16696E-08
 FINAL VALUES: PERIOD=   9.996165E+01 EIG=  3.950871589E-03
  9 NODES IN Y1     8 NODES IN Y2 
     PHASE DIAGRAM MODE  -7
                   2(N, R/R* ,  Y1  ,  Y2)
 178   .993921 -1.6527E-01  1.2644E+02 179   .994830 -1.1559E+01 -1.0415E+01
 180   .995648  1.0083E+00 -2.9553E+01 181   .996385  4.0435E+00  5.5342E+00
 182   .997050 -6.9040E-01  1.0007E+01 183   .997650 -1.9721E+00 -2.8098E+00
 184   .998187  3.8740E-01 -4.7416E+00 185   .998663  1.3169E+00  1.3515E+00
 186   .999007  2.3669E-01  3.2735E+00 187   .999259 -7.9166E-01  1.6628E+00
 188   .999444 -1.1397E+00 -4.1756E-01 189   .999581 -9.9285E-01 -1.7531E+00
 190   .999684 -6.4100E-01 -2.3103E+00 191   .999761 -2.7015E-01 -2.3708E+00
 192   .999819  3.9225E-02 -2.1905E+00 193   .999863  2.7550E-01 -1.9297E+00
 194   .999896  4.5575E-01 -1.6898E+00 195   .999923  5.9809E-01 -1.5073E+00
 196   .999945  7.1339E-01 -1.3630E+00 197   .999962  8.0754E-01 -1.2391E+00
 198   .999977  8.8466E-01 -1.1307E+00 199   .999990  9.4795E-01 -1.0357E+00
 200  1.000000  1.0000E+00 -9.5260E-01


